gpu alloc tx type repeats total_time_ms shape data_in_mb exp_gmem_in_mb cudaFree_perc cudaFree_ms cudaMemcpy_perc cudaMemcpy_ms cudaMalloc_perc cudaMalloc_ms
NVS_5200M incl_alloc incl_tx out-of-place 10 80 64x64x64 1 2.03125 0.73 0.561386 8.68 6.684839 1.49 1.149966
NVS_5200M incl_alloc incl_tx out-of-place 10 90 128x64x64 2 4.0625 0.64 0.561883 14.79 13.00919 1.24 1.094707
NVS_5200M incl_alloc incl_tx out-of-place 10 110 128x128x64 4 8.125 0.49 0.574007 22.01 25.85935 0.96 1.129535
NVS_5200M incl_alloc incl_tx out-of-place 10 170 128x128x128 8 16.125 0.37 0.643258 29.72 51.07833 0.70 1.194869
NVS_5200M incl_alloc incl_tx out-of-place 10 290 256x128x128 16 32.25 0.23 0.646556 35.94 101.4301 0.53 1.498369
NVS_5200M incl_alloc incl_tx out-of-place 10 510 256x256x128 32 64.5 0.20 1.001952 39.76 202.8752 0.28 1.435851
NVS_5200M incl_alloc incl_tx out-of-place 10 950 256x256x256 64 128.5 0.11 1.006204 42.76 405.4465 0.17 1.584230
NVS_5200M incl_alloc incl_tx out-of-place 10 2050 512x256x256 128 257 0.07 1.455960 39.68 811.5745 0.09 1.834772
NVS_5200M excl_alloc incl_tx out-of-place 10 80 64x64x64 1 2.03125 0 0 9.07 6.647972 0 0
NVS_5200M excl_alloc incl_tx out-of-place 10 90 128x64x64 2 4.0625 0 0 15.11 13.09879 0 0
NVS_5200M excl_alloc incl_tx out-of-place 10 110 128x128x64 4 8.125 0 0 22.08 25.92327 0 0
NVS_5200M excl_alloc incl_tx out-of-place 10 180 128x128x128 8 16.125 0 0 29.77 51.13688 0 0
NVS_5200M excl_alloc incl_tx out-of-place 10 280 256x128x128 16 32.25 0 0 36.23 101.8376 0 0
NVS_5200M excl_alloc incl_tx out-of-place 10 500 256x256x128 32 64.5 0 0 40.13 202.5716 0 0
NVS_5200M excl_alloc incl_tx out-of-place 10 960 256x256x256 64 128.5 0 0 42.04 405.1159 0 0
NVS_5200M excl_alloc incl_tx out-of-place 10 2050 512x256x256 128 257 0 0 39.64 810.7407 0 0
NVS_5200M excl_alloc excl_tx out-of-place 10 70 64x64x64 1 2.03125 0 0 0 0 0 0
NVS_5200M excl_alloc excl_tx out-of-place 10 70 128x64x64 2 4.0625 0 0 0 0 0 0
NVS_5200M excl_alloc excl_tx out-of-place 10 80 128x128x64 4 8.125 0 0 0 0 0 0
NVS_5200M excl_alloc excl_tx out-of-place 10 110 128x128x128 8 16.125 0 0 0 0 0 0
NVS_5200M excl_alloc excl_tx out-of-place 10 180 256x128x128 16 32.25 0 0 0 0 0 0
NVS_5200M excl_alloc excl_tx out-of-place 10 290 256x256x128 32 64.5 0 0 0 0 0 0
NVS_5200M excl_alloc excl_tx out-of-place 10 510 256x256x256 64 128.5 0 0 0 0 0 0
NVS_5200M excl_alloc excl_tx out-of-place 10 1160 512x256x256 128 257 0 0 0 0 0 0
NVS_5200M incl_alloc incl_tx inplace 10 80 64x64x64 1 2.03125 0.74 0.549333 9.06 6.712837 1.53 1.131490
NVS_5200M incl_alloc incl_tx inplace 10 90 128x64x64 2 4.0625 0.62 0.559540 14.47 13.04548 1.23 1.109572
NVS_5200M incl_alloc incl_tx inplace 10 120 128x128x64 4 8.125 0.49 0.576459 22.08 25.72422 0.95 1.106947
NVS_5200M incl_alloc incl_tx inplace 10 170 128x128x128 8 16.125 0.38 0.651637 30.11 51.62309 0.71 1.213306
NVS_5200M incl_alloc incl_tx inplace 10 280 256x128x128 16 32.25 0.23 0.639323 35.98 101.7455 0.42 1.195237
NVS_5200M incl_alloc incl_tx inplace 10 500 256x256x128 32 64.5 0.17 0.847664 39.91 203.6323 0.28 1.413909
NVS_5200M incl_alloc incl_tx inplace 10 940 256x256x256 64 128.5 0.11 1.055590 42.65 405.2409 0.17 1.576093
NVS_5200M incl_alloc incl_tx inplace 10 2040 512x256x256 128 257 0.07 1.446998 39.69 810.8245 0.09 1.843390
NVS_5200M incl_alloc incl_tx inplace 10 4470 512x512x256 256 514 0.05 2.162214 36.29 1.62e+03 0.05 2.341060
NVS_5200M excl_alloc incl_tx inplace 10 80 64x64x64 1 2.03125 0 0 9.05 6.757889 0 0
NVS_5200M excl_alloc incl_tx inplace 10 90 128x64x64 2 4.0625 0 0 15.08 13.06795 0 0
NVS_5200M excl_alloc incl_tx inplace 10 120 128x128x64 4 8.125 0 0 22.30 25.76568 0 0
NVS_5200M excl_alloc incl_tx inplace 10 170 128x128x128 8 16.125 0 0 30.01 51.14372 0 0
